 [1,  12307.7392578125,  47,  -591,  8508.30078125] 
 [2,  2301.025390625,  3,  -595,  2050.78125] 
 [3,  372.314453125,  24,  -582,  335.693359375] 
 [4,  567.626953125,  26,  -536,  335.693359375] 
 [5,  689.697265625,  42,  -322,  433.349609375] 
 [6,  5877.685546875,  5,  -671,  5261.23046875] 
 [7,  8673.095703125,  0,  -538,  7083.1298828125] 
 [8,  241.0888671875,  10,  -523,  201.416015625] 
 [9,  643.9208984375,  0,  -682,  634.765625] 
 [10,  5819.7021484375,  0,  -779,  5514.5263671875] 
 [11,  3115.8447265625,  47,  -497,  1901.2451171875] 
 [12,  320.4345703125,  0,  -389,  308.2275390625] 
 [13,  3497.314453125,  0,  -773,  3295.8984375] 
 [14,  839.2333984375,  0,  -634,  839.2333984375] 
 [15,  753.7841796875,  0,  -661,  720.21484375] 
 [16,  753.7841796875,  66,  -933,  628.662109375] 
 [17,  2716.064453125,  24,  -500,  1980.5908203125] 
 [18,  7830.810546875,  10,  -937,  7061.767578125] 
 [19,  363.1591796875,  58,  -358,  195.3125] 
 [20,  2197.265625,  0,  -591,  1919.5556640625] 
 [21,  2435.302734375,  0,  -943,  2435.302734375] 
 [22,  119.0185546875,  51,  -480,  94.6044921875] 
