 [1,  20187.3779296875,  0,  -793] 
 [2,  2832.03125,  0,  -804] 
 [3,  3060.9130859375,  0,  -811] 
 [4,  781.25,  0,  -810] 
 [5,  454.7119140625,  0,  -773] 
 [6,  659.1796875,  0,  -711] 
 [7,  1083.3740234375,  0,  -678] 
 [8,  845.3369140625,  0,  -788] 
 [9,  595.0927734375,  0,  -703] 
 [10,  601.1962890625,  0,  -695] 
 [11,  4653.9306640625,  0,  -720] 
 [13,  558.4716796875,  0,  -803] 
 [14,  24563.5986328125,  0,  -751] 
 [15,  851.4404296875,  0,  -754] 
 [16,  692.7490234375,  0,  -829] 
 [17,  695.80078125,  0,  -743] 
 [18,  8966.064453125,  0,  -853] 
 [19,  3234.86328125,  0,  -624] 
 [20,  2120.9716796875,  0,  -784] 
 [21,  1922.607421875,  0,  -778] 
 [22,  7702.63671875,  0,  -687] 
 [23,  1867.67578125,  0,  -772] 
 [24,  14025.87890625,  0,  -772] 
 [25,  2099.609375,  0,  -690] 
 [26,  1049.8046875,  0,  -790] 
 [27,  476.07421875,  0,  -825] 
 [28,  625.6103515625,  0,  -755] 
 [29,  994.873046875,  0,  -737] 
