 [3,  415.0390625,  0,  -647] 
 [4,  51.8798828125,  0,  -857] 
 [5,  253.2958984375,  0,  -708] 
 [6,  1593.017578125,  27,  -542] 
 [7,  173.9501953125,  0,  -658] 
 [8,  466.9189453125,  0,  -621] 
 [9,  704.9560546875,  0,  -592] 
 [10,  1248.1689453125,  0,  -706] 
 [11,  1684.5703125,  0,  -660] 
 [12,  73.2421875,  0,  -740] 
 [13,  1721.19140625,  0,  -665] 
 [14,  448.6083984375,  0,  -725] 
 [15,  100.7080078125,  0,  -642] 
 [16,  4116.8212890625,  24,  -465] 
 [17,  6021.1181640625,  29,  -396] 
 [18,  765.9912109375,  0,  -556] 
 [19,  964.35546875,  0,  -631] 
 [20,  299.072265625,  0,  -646] 
 [21,  1834.1064453125,  0,  -667] 
 [22,  314.3310546875,  0,  -680] 
 [23,  1983.642578125,  17,  -571] 
 [24,  2145.3857421875,  9,  -667] 
 [25,  1916.50390625,  38,  -537] 
 [27,  613.4033203125,  0,  -717] 
 [28,  1483.154296875,  12,  -649] 
 [29,  1571.6552734375,  27,  -479] 
 [30,  1007.080078125,  0,  -598] 
 [31,  42.724609375,  0,  -774] 
 [32,  1287.841796875,  15,  -574] 
 [33,  1019.287109375,  0,  -560] 
 [34,  280.76171875,  0,  -685] 
 [35,  335.693359375,  30,  -618] 
 [36,  503.5400390625,  0,  -692] 
 [37,  67.138671875,  0,  -738] 
 [38,  531.005859375,  0,  -443] 
