 [1,  24180.176686286926,  0,  -557] 
 [2,  593168.754439354,  0,  -411] 
 [3,  922.789776802063,  0,  -689] 
 [4,  2328.8232250213623,  0,  -718] 
 [5,  768.5630731582642,  0,  -553] 
 [6,  2128.328510284424,  0,  -646] 
 [7,  742.8586225509644,  0,  -558] 
 [8,  1457.442349433899,  0,  -715] 
 [9,  724.8655071258545,  23,  -699] 
 [10,  3313.303683280945,  0,  -724] 
 [11,  4817.014043807983,  0,  -726] 
 [12,  91171.11585903168,  0,  -420] 
 [13,  2053.7856035232544,  0,  -754] 
 [14,  827.6833095550537,  0,  -824] 
 [15,  2089.771834373474,  46,  -783] 
 [16,  1244.0954093933105,  0,  -774] 
